store_id,date,revenue,num_txn,cash_rev,card_domestic_rev,card_international_rev,ewallet_rev,bank_transfer_rev,refund_amt
STORE_00001,2024-01-01,7936000.0,35,2108000.0,3047000.0,1816000.0,874000.0,91000.0,49000.0
STORE_00001,2024-01-02,8412000.0,44,2434000.0,1387000.0,22000.0,4055000.0,514000.0,28000.0
STORE_00001,2024-01-03,8440000.0,43,2740000.0,2023000.0,164000.0,2670000.0,843000.0,75000.0
STORE_00001,2024-01-04,7648000.0,36,1405000.0,3614000.0,222000.0,1996000.0,411000.0,39000.0
STORE_00001,2024-01-05,9246000.0,59,2326000.0,2588000.0,1093000.0,2573000.0,666000.0,58000.0
STORE_00001,2024-01-06,12433000.0,78,3090000.0,8072000.0,103000.0,874000.0,294000.0,76000.0
STORE_00001,2024-01-07,11231000.0,57,2248000.0,3357000.0,1893000.0,2500000.0,1233000.0,87000.0
STORE_00001,2024-01-08,8113000.0,31,2094000.0,2721000.0,359000.0,1924000.0,1015000.0,44000.0
STORE_00001,2024-01-09,7893000.0,43,1788000.0,2189000.0,134000.0,3120000.0,662000.0,75000.0
STORE_00001,2024-01-10,6176000.0,34,1213000.0,1742000.0,1011000.0,2070000.0,140000.0,37000.0
STORE_00001,2024-01-11,6265000.0,27,1762000.0,2953000.0,837000.0,534000.0,179000.0,37000.0
STORE_00001,2024-01-12,9069000.0,63,1709000.0,2335000.0,809000.0,3107000.0,1109000.0,62000.0
STORE_00001,2024-01-13,9166000.0,38,1916000.0,5235000.0,232000.0,1110000.0,673000.0,67000.0
STORE_00001,2024-01-14,11138000.0,60,3232000.0,4152000.0,483000.0,1244000.0,2027000.0,43000.0
STORE_00001,2024-01-15,8245000.0,47,3000000.0,2385000.0,456000.0,473000.0,1931000.0,48000.0
STORE_00001,2024-01-16,7358000.0,37,1325000.0,3159000.0,1143000.0,1320000.0,411000.0,45000.0
STORE_00001,2024-01-17,8123000.0,46,2399000.0,1828000.0,267000.0,2813000.0,816000.0,85000.0
STORE_00001,2024-01-18,7742000.0,36,2204000.0,3071000.0,346000.0,1329000.0,792000.0,78000.0
STORE_00001,2024-01-19,7769000.0,42,2219000.0,3413000.0,5000.0,1820000.0,312000.0,68000.0
STORE_00001,2024-01-20,10198000.0,85,2284000.0,2211000.0,341000.0,5140000.0,222000.0,91000.0
STORE_00001,2024-01-21,7586000.0,37,1532000.0,2819000.0,125000.0,1910000.0,1200000.0,78000.0
STORE_00001,2024-01-22,9207000.0,45,2181000.0,3531000.0,1320000.0,1514000.0,661000.0,49000.0
STORE_00001,2024-01-23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
STORE_00001,2024-01-24,6594000.0,33,1007000.0,1938000.0,19000.0,690000.0,2940000.0,66000.0
STORE_00001,2024-01-25,8999000.0,43,2163000.0,2293000.0,17000.0,3738000.0,788000.0,56000.0
STORE_00001,2024-01-26,7307000.0,44,1186000.0,2536000.0,905000.0,2056000.0,624000.0,36000.0
STORE_00001,2024-01-27,9608000.0,51,2008000.0,4848000.0,233000.0,2057000.0,462000.0,32000.0
STORE_00001,2024-01-28,10920000.0,59,1309000.0,3158000.0,89000.0,4310000.0,2054000.0,59000.0
STORE_00001,2024-01-29,7699000.0,37,1224000.0,4023000.0,875000.0,673000.0,904000.0,72000.0
STORE_00001,2024-01-30,7884000.0,39,1273000.0,2029000.0,343000.0,2017000.0,2222000.0,51000.0
